game_id,season,week,kickoff,game_type,location,home,away,home_rest,away_rest,margin,total,home_points,away_points
2026_01_NE_SEA,2026,1,2026-09-10T00:20:00+00:00,REG,Home,SEA,NE,7,7,3.291695521475117,45.24047619047619,24.266085855975653,20.974390334500534
2026_01_SF_LA,2026,1,2026-09-11T00:35:00+00:00,REG,Neutral,LAR,SF,7,7,4.266054498387761,49.205263157894734,26.735658828141247,22.469604329753487
2026_01_ATL_PIT,2026,1,2026-09-13T17:00:00+00:00,REG,Home,PIT,ATL,7,7,1.124031595894316,44.954248366013076,23.039139980953696,21.91510838505938
2026_01_BAL_IND,2026,1,2026-09-13T17:00:00+00:00,REG,Home,IND,BAL,7,7,-0.3441365766271646,50.0,24.827931711686418,25.172068288313582
2026_01_BUF_HOU,2026,1,2026-09-13T17:00:00+00:00,REG,Home,HOU,BUF,7,7,0.7615638609605188,45.76315789473684,23.262360877848682,22.50079701688816
2026_01_CHI_CAR,2026,1,2026-09-13T17:00:00+00:00,REG,Home,CAR,CHI,7,7,-2.1719416580254016,46.026315789473685,21.92718706572414,24.099128723749544
2026_01_CLE_JAX,2026,1,2026-09-13T17:00:00+00:00,REG,Home,JAX,CLE,7,7,9.782500032185865,43.26960784313725,26.52605393766156,16.743553905475693
2026_01_NO_DET,2026,1,2026-09-13T17:00:00+00:00,REG,Home,DET,NO,7,7,5.16628825525041,46.55882352941177,25.862555892331088,20.69626763708068
2026_01_NYJ_TEN,2026,1,2026-09-13T17:00:00+00:00,REG,Home,TEN,NYJ,7,7,3.3820894588799484,46.029411764705884,24.705750611792915,21.32366115291297
2026_01_TB_CIN,2026,1,2026-09-13T17:00:00+00:00,REG,Home,CIN,TB,7,7,3.0980196144251066,49.91176470588235,26.504892160153727,23.40687254572862
2026_01_ARI_LAC,2026,1,2026-09-13T20:25:00+00:00,REG,Home,LAC,ARI,7,7,6.5678899543040385,44.98856209150327,25.778226022903652,19.210336068599617
2026_01_GB_MIN,2026,1,2026-09-13T20:25:00+00:00,REG,Home,MIN,GB,7,7,1.6685927007011319,42.38398692810458,22.026289814402855,20.35769711370172
2026_01_MIA_LV,2026,1,2026-09-13T20:25:00+00:00,REG,Home,LV,MIA,7,7,-2.173752189641478,42.470588235294116,20.14841802282632,22.322170212467796
2026_01_WAS_PHI,2026,1,2026-09-13T20:25:00+00:00,REG,Home,PHI,WAS,7,7,5.718967199262716,44.45751633986928,25.088241769565997,19.369274570303283
2026_01_DAL_NYG,2026,1,2026-09-14T00:20:00+00:00,REG,Home,NYG,DAL,7,7,1.4199302021598754,53.0,27.209965101079938,25.790034898920062
2026_01_DEN_KC,2026,1,2026-09-15T00:15:00+00:00,REG,Home,KC,DEN,7,7,-0.12111885918859044,41.136222910216716,20.507552025514062,20.628670884702654
