game_id,season,week,kickoff,home,away,location,margin,total,home_points,away_points,pgo_v0_margin,legacy_margin,old_selector_margin
2026_01_NE_SEA,2026,1,2026-09-10T00:20:00+00:00,SEA,NE,Home,1.1923794584584706,46.61764705882353,23.905013258641,22.71263380018253,3.86499003768974,3.157391824094444,1.1216011816090656
2026_01_SF_LA,2026,1,2026-09-11T00:35:00+00:00,LAR,SF,Neutral,1.5850479168410283,49.17647058823529,25.38075925253816,23.79571133569713,2.088590713760465,2.078211128980004,1.5850479168410283
2026_01_ATL_PIT,2026,1,2026-09-13T17:00:00+00:00,PIT,ATL,Home,5.60554840361925,45.23529411764706,25.420421260633155,19.814872857013903,3.7485430671823505,4.1628091810878844,5.60554840361925
2026_01_BAL_IND,2026,1,2026-09-13T17:00:00+00:00,IND,BAL,Home,-5.45712135602961,50.0,22.271439321985195,27.728560678014805,0.7175004671569509,-0.8522207577616796,-5.510138699122125
2026_01_BUF_HOU,2026,1,2026-09-13T17:00:00+00:00,HOU,BUF,Home,0.479200819868036,45.44117647058823,22.960188645228133,22.4809878253601,1.9572982081579002,1.5723601746568772,0.479200819868036
2026_01_CHI_CAR,2026,1,2026-09-13T17:00:00+00:00,CAR,CHI,Home,-4.145519214716806,45.5,20.677240392641597,24.822759607358403,-0.5671433734148126,-1.1220263107274158,-2.4435721865198445
2026_01_CLE_JAX,2026,1,2026-09-13T17:00:00+00:00,JAX,CLE,Home,12.17669343058799,43.17647058823529,27.67658200941164,15.49988857882365,8.209148239422708,9.332312236421414,12.17669343058799
2026_01_NO_DET,2026,1,2026-09-13T17:00:00+00:00,DET,NO,Home,5.823283630922379,46.55882352941177,26.191053580167072,20.367769949244696,5.943733860761356,6.149448790321148,5.823283630922379
2026_01_NYJ_TEN,2026,1,2026-09-13T17:00:00+00:00,TEN,NYJ,Home,4.961156435407665,46.029411764705884,25.495284100056775,20.53412766464911,3.3003074674116064,4.037204245658021,5.8894793137916395
2026_01_TB_CIN,2026,1,2026-09-13T17:00:00+00:00,CIN,TB,Home,2.8370373982484183,49.91176470588235,26.374401052065384,23.537363653816964,2.515463710361427,2.6466414526992663,2.8370373982484183
2026_01_ARI_LAC,2026,1,2026-09-13T20:25:00+00:00,LAC,ARI,Home,10.040586667714331,45.61764705882353,27.82911686326893,17.7885301955546,6.707045840966957,7.355409070646115,9.410812190986785
2026_01_GB_MIN,2026,1,2026-09-13T20:25:00+00:00,MIN,GB,Home,0.9463154934786937,42.0,21.473157746739346,20.526842253260654,2.6699715115235225,2.1682466550556807,0.9463154934786937
2026_01_MIA_LV,2026,1,2026-09-13T20:25:00+00:00,LV,MIA,Home,-4.407235017380099,42.470588235294116,19.031676608957007,23.43891162633711,0.22519969181688726,-0.40476916466467894,-3.583076507699216
2026_01_WAS_PHI,2026,1,2026-09-13T20:25:00+00:00,PHI,WAS,Home,9.48047641767791,44.44117647058823,26.96082644413307,17.480350026455163,5.717228238200997,6.446462686187028,9.48047641767791
2026_01_DAL_NYG,2026,1,2026-09-14T00:20:00+00:00,NYG,DAL,Home,4.471704602010317,53.0,28.73585230100516,24.26414769899484,2.680888347178675,3.1120659400744928,4.847896026172938
