game_id,season,week,kickoff,game_type,location,home,away,home_rest,away_rest,margin,total,home_points,away_points,pgo_v0_margin,legacy_margin,incumbent_margin,incumbent_total,incumbent_home_points,incumbent_away_points,league_mean_total
2026_01_NE_SEA,2026,1,2026-09-10T00:20:00+00:00,REG,Home,SEA,NE,7,7,0.43982679672328245,46.61764705882353,23.528736927773405,23.088910131050124,3.86499003768974,3.157391824094444,1.1923794584584706,46.61764705882353,23.905013258641,22.71263380018253,46.025735294117645
2026_01_SF_LA,2026,1,2026-09-11T00:35:00+00:00,REG,Neutral,LAR,SF,7,7,2.5314551641918106,49.17647058823529,25.85396287621355,23.32250771202174,2.088590713760465,2.078211128980004,1.5850479168410283,49.17647058823529,25.38075925253816,23.79571133569713,46.025735294117645
2026_01_ATL_PIT,2026,1,2026-09-13T17:00:00+00:00,REG,Home,PIT,ATL,7,7,2.488475952663037,45.23529411764706,23.861885035155048,21.37340908249201,3.7485430671823505,4.1628091810878844,5.60554840361925,45.23529411764706,25.420421260633155,19.814872857013903,46.025735294117645
2026_01_BAL_IND,2026,1,2026-09-13T17:00:00+00:00,REG,Home,IND,BAL,7,7,-0.44728685309533656,50.0,24.776356573452333,25.223643426547667,0.7175004671569509,-0.8522207577616796,-5.45712135602961,50.0,22.271439321985195,27.728560678014805,46.025735294117645
2026_01_BUF_HOU,2026,1,2026-09-13T17:00:00+00:00,REG,Home,HOU,BUF,7,7,1.007174410715629,45.44117647058823,23.22417544065193,22.217001029936302,1.9572982081579002,1.5723601746568772,0.479200819868036,45.44117647058823,22.960188645228133,22.4809878253601,46.025735294117645
2026_01_CHI_CAR,2026,1,2026-09-13T17:00:00+00:00,REG,Home,CAR,CHI,7,7,-3.2066659083493882,45.5,21.146667045825307,24.353332954174693,-0.5671433734148126,-1.1220263107274158,-4.145519214716806,45.5,20.677240392641597,24.822759607358403,46.025735294117645
2026_01_CLE_JAX,2026,1,2026-09-13T17:00:00+00:00,REG,Home,JAX,CLE,7,7,10.215537259193557,43.17647058823529,26.69600392371442,16.48046666452087,8.209148239422708,9.332312236421414,12.17669343058799,43.17647058823529,27.67658200941164,15.49988857882365,46.025735294117645
2026_01_NO_DET,2026,1,2026-09-13T17:00:00+00:00,REG,Home,DET,NO,7,7,5.058251786928585,46.55882352941177,25.808537658170177,20.75028587124159,5.943733860761356,6.149448790321148,5.823283630922379,46.55882352941177,26.191053580167072,20.367769949244696,46.025735294117645
2026_01_NYJ_TEN,2026,1,2026-09-13T17:00:00+00:00,REG,Home,TEN,NYJ,7,7,3.301519634845833,46.029411764705884,24.665465699775858,21.363946064930026,3.3003074674116064,4.037204245658021,4.961156435407665,46.029411764705884,25.495284100056775,20.53412766464911,46.025735294117645
2026_01_TB_CIN,2026,1,2026-09-13T17:00:00+00:00,REG,Home,CIN,TB,7,7,3.101989006450409,49.91176470588235,26.50687685616638,23.40488784971597,2.515463710361427,2.6466414526992663,2.8370373982484183,49.91176470588235,26.374401052065384,23.537363653816964,46.025735294117645
2026_01_ARI_LAC,2026,1,2026-09-13T20:25:00+00:00,REG,Home,LAC,ARI,7,7,7.753804334970602,45.61764705882353,26.685725696897066,18.931921361926463,6.707045840966957,7.355409070646115,10.040586667714331,45.61764705882353,27.82911686326893,17.7885301955546,46.025735294117645
2026_01_GB_MIN,2026,1,2026-09-13T20:25:00+00:00,REG,Home,MIN,GB,7,7,2.0692979494256125,42.0,22.034648974712805,19.965351025287195,2.6699715115235225,2.1682466550556807,0.9463154934786937,42.0,21.473157746739346,20.526842253260654,46.025735294117645
2026_01_MIA_LV,2026,1,2026-09-13T20:25:00+00:00,REG,Home,LV,MIA,7,7,-2.245750749477357,42.470588235294116,20.11241874290838,22.358169492385738,0.22519969181688726,-0.40476916466467894,-4.407235017380099,42.470588235294116,19.031676608957007,23.43891162633711,46.025735294117645
2026_01_WAS_PHI,2026,1,2026-09-13T20:25:00+00:00,REG,Home,PHI,WAS,7,7,5.993579806381076,44.44117647058823,25.217378138484655,19.223798332103577,5.717228238200997,6.446462686187028,9.48047641767791,44.44117647058823,26.96082644413307,17.480350026455163,46.025735294117645
2026_01_DAL_NYG,2026,1,2026-09-14T00:20:00+00:00,REG,Home,NYG,DAL,7,7,1.5203187999808454,53.0,27.26015939999042,25.73984060000958,2.680888347178675,3.1120659400744928,4.471704602010317,53.0,28.73585230100516,24.26414769899484,46.025735294117645
2026_01_DEN_KC,2026,1,2026-09-15T00:15:00+00:00,REG,Home,KC,DEN,7,7,-0.3488479111190876,41.23529411764706,20.443223103263986,20.792071014383072,0.6162851932001407,0.023441429891963905,-1.7203575966934963,41.23529411764706,19.75746826047678,21.477825857170277,46.025735294117645
