game_id,season,game_type,home_team,away_team,home_score,away_score
2025_07_TB_DET,2025,REG,DET,TB,24,9
2025_07_HOU_SEA,2025,REG,SEA,HOU,27,19
2025_08_MIN_LAC,2025,REG,LAC,MIN,37,10
2025_08_MIA_ATL,2025,REG,ATL,MIA,10,34
2025_08_CHI_BAL,2025,REG,BAL,CHI,30,16
2025_08_BUF_CAR,2025,REG,CAR,BUF,9,40
2025_08_NYJ_CIN,2025,REG,CIN,NYJ,38,39
2025_08_SF_HOU,2025,REG,HOU,SF,26,15
2025_08_CLE_NE,2025,REG,NE,CLE,32,13
2025_08_NYG_PHI,2025,REG,PHI,NYG,38,20
2025_08_TB_NO,2025,REG,NO,TB,3,23
2025_08_DAL_DEN,2025,REG,DEN,DAL,44,24
2025_08_TEN_IND,2025,REG,IND,TEN,38,14
2025_08_GB_PIT,2025,REG,PIT,GB,25,35
2025_08_WAS_KC,2025,REG,KC,WAS,28,7
2025_09_BAL_MIA,2025,REG,MIA,BAL,6,28
2025_09_CHI_CIN,2025,REG,CIN,CHI,42,47
2025_09_MIN_DET,2025,REG,DET,MIN,24,27
2025_09_CAR_GB,2025,REG,GB,CAR,13,16
2025_09_DEN_HOU,2025,REG,HOU,DEN,15,18
2025_09_ATL_NE,2025,REG,NE,ATL,24,23
2025_09_SF_NYG,2025,REG,NYG,SF,24,34
2025_09_IND_PIT,2025,REG,PIT,IND,27,20
2025_09_LAC_TEN,2025,REG,TEN,LAC,20,27
2025_09_NO_LA,2025,REG,LA,NO,34,10
2025_09_JAX_LV,2025,REG,LV,JAX,29,30
2025_09_KC_BUF,2025,REG,BUF,KC,28,21
2025_09_SEA_WAS,2025,REG,WAS,SEA,14,38
2025_09_ARI_DAL,2025,REG,DAL,ARI,17,27
2025_10_LV_DEN,2025,REG,DEN,LV,10,7
2025_10_ATL_IND,2025,REG,IND,ATL,31,25
2025_10_NO_CAR,2025,REG,CAR,NO,7,17
2025_10_NYG_CHI,2025,REG,CHI,NYG,24,20
2025_10_JAX_HOU,2025,REG,HOU,JAX,36,29
2025_10_BUF_MIA,2025,REG,MIA,BUF,30,13
2025_10_BAL_MIN,2025,REG,MIN,BAL,19,27
2025_10_CLE_NYJ,2025,REG,NYJ,CLE,27,20
2025_10_NE_TB,2025,REG,TB,NE,23,28
2025_10_ARI_SEA,2025,REG,SEA,ARI,44,22
2025_10_LA_SF,2025,REG,SF,LA,26,42
2025_10_DET_WAS,2025,REG,WAS,DET,22,44
2025_10_PIT_LAC,2025,REG,LAC,PIT,25,10
2025_10_PHI_GB,2025,REG,GB,PHI,7,10
2025_11_NYJ_NE,2025,REG,NE,NYJ,27,14
2025_11_WAS_MIA,2025,REG,MIA,WAS,16,13
2025_11_CAR_ATL,2025,REG,ATL,CAR,27,30
2025_11_TB_BUF,2025,REG,BUF,TB,44,32
2025_11_LAC_JAX,2025,REG,JAX,LAC,35,6
2025_11_CHI_MIN,2025,REG,MIN,CHI,17,19
2025_11_GB_NYG,2025,REG,NYG,GB,20,27
2025_11_CIN_PIT,2025,REG,PIT,CIN,34,12
2025_11_HOU_TEN,2025,REG,TEN,HOU,13,16
2025_11_SF_ARI,2025,REG,ARI,SF,22,41
2025_11_SEA_LA,2025,REG,LA,SEA,21,19
2025_11_BAL_CLE,2025,REG,CLE,BAL,16,23
2025_11_KC_DEN,2025,REG,DEN,KC,22,19
2025_11_DET_PHI,2025,REG,PHI,DET,16,9
2025_11_DAL_LV,2025,REG,LV,DAL,16,33
2025_12_BUF_HOU,2025,REG,HOU,BUF,23,19
2025_12_NYJ_BAL,2025,REG,BAL,NYJ,23,10
2025_12_PIT_CHI,2025,REG,CHI,PIT,31,28
2025_12_NE_CIN,2025,REG,CIN,NE,20,26
2025_12_NYG_DET,2025,REG,DET,NYG,34,27
2025_12_MIN_GB,2025,REG,GB,MIN,23,6
2025_12_IND_KC,2025,REG,KC,IND,23,20
2025_12_SEA_TEN,2025,REG,TEN,SEA,24,30
2025_12_JAX_ARI,2025,REG,ARI,JAX,24,27
